sku,additional_attributes
I0000001,"designer=Crayola,size=64 Count,type=Colors,gender=Kids,upc=71662000646,pwwsku=ACC-1182"
I0000002,"designer=Huggies,size=31 Count,type=Diapers,gender=Kids,upc=36000119589,pwwsku=ACC-1187"
I0000003,"designer=Huggies,size=27 Count,type=Diapers,gender=Kids,upc=36000119596,pwwsku=ACC-1188"
I0000004,"designer=Violife,size=2 Pc Set,type=Brush Head,gender=Kids,upc=819243010642,pwwsku=ACC-1436"
I0000005,"designer=Violife,size=3 Pc Kit,type=Rockee Toothbrush, 2 Additional Brush Heads,gender=Kids,upc=819243017153,pwwsku=ACC-1499"
I0000006,"designer=Violife,size=3 Pc Set,type=Rockee Toothbrush, 2 Additional Brush Heads,gender=Kids,upc=819243017160,pwwsku=ACC-1437"
I0000007,"designer=Violife,size=3 Pc Kit,type=Rockee Toothbrush, 2 Additional Brush Heads,gender=Kids,upc=819243014961,pwwsku=ACC-1496"
I0000008,"designer=Huggies,size=31 Count,type=Diapers,gender=Kids,upc=36000555042,pwwsku=ACC-1186"
I0000009,"designer=Crayola,size=24 Count,type=Colors,gender=Kids,upc=71662174088,pwwsku=ACC-1183"
I0000010,"designer=Crayola,size=6 Count,type=Colors,gender=Kids,upc=71662112042,pwwsku=ACC-1184"
I0000011,"designer=WAHL Professional,size=12 oz,type=Liquid Lather,gender=Men,upc=43917689074,pwwsku=ACC-1632"
I0000012,"designer=WAHL Professional,size=64 oz,type=Liquid Lather,gender=Men,upc=843711219794,pwwsku=ACC-1645"
I0000013,"designer=WAHL Professional,size=1 Pc,type=Barber Cape,gender=Men,upc=43917104447,pwwsku=ACC-1667"
I0000014,"designer=Gucci,size=100 CM,type=Belt,gender=Men,pwwsku=ACC-1228"
I0000015,"designer=Gucci,size=105 CM,type=Belt,gender=Men,pwwsku=ACC-1231"
I0000016,"designer=Gucci,size=90 CM,type=Belt,gender=Men,pwwsku=ACC-1221"
I0000017,"designer=Gucci,size=1 Pc,type=Money Clip,gender=Men,pwwsku=ACC-1237"
I0000018,"designer=Gucci,size=115 CM,type=Belt,gender=Men,pwwsku=ACC-1261"
I0000019,"designer=Polanni,size=W 1.9 x L 1.3 cm,type=Cufflinks,gender=Men,upc=678549484949,pwwsku=CUFF-1011"
I0000020,"designer=Polanni,size=W 2.5 x L 1.7 cm,type=Cufflinks,gender=Men,upc=678549484849,pwwsku=CUFF-1001"
I0000021,"designer=Polanni,size=W 2.2 x L 1.6 cm,type=Cufflinks,gender=Men,upc=678549484951,pwwsku=CUFF-1013"
I0000022,"designer=Polanni,size=W 2 x L 1.2 cm,type=Cufflinks,gender=Men,upc=678549484853,pwwsku=CUFF-1005"
I0000023,"designer=Polanni,size=1.9 cm,type=Cufflinks,gender=Men,upc=678549484856,pwwsku=CUFF-1008"
I0000024,"designer=Polanni,size=W 1.9 x L 1.3 cm,type=Cufflinks,gender=Men,upc=678549484855,pwwsku=CUFF-1007"
I0000025,"designer=Polanni,size=W 1.9 x L 1.2 cm,type=Cufflinks,gender=Men,upc=678549484857,pwwsku=CUFF-1009"
I0000026,"designer=Polanni,size=W 1.9 x L 1.4 cm,type=Cufflinks,gender=Men,upc=678549484948,pwwsku=CUFF-1010"
I0000027,"designer=Polanni,size=W 2.2 x L 1.1 cm,type=Cufflinks,gender=Men,upc=678549484854,pwwsku=CUFF-1006"
I0000028,"designer=Polanni,size=W 2 x L 1.5 cm,type=Cufflinks,gender=Men,upc=678549484852,pwwsku=CUFF-1004"
I0000029,"designer=Gucci,size=1 Pc,type=Wallet,gender=Men,pwwsku=ACC-1209"
I0000030,"designer=Gucci,size=1 Pc,type=Wallet,gender=Men,pwwsku=ACC-1210"
I0000031,"designer=Gucci,size=1 Pc,type=Money Clip,gender=Men,pwwsku=ACC-1207"
I0000032,"designer=Gucci,size=100 CM,type=Belt,gender=Men,pwwsku=ACC-1229"
I0000033,"designer=Gucci,size=105 CM,type=Belt,gender=Men,pwwsku=ACC-1249"
I0000034,"designer=Gucci,size=110 CM,type=Belt,gender=Men,pwwsku=ACC-1263"
I0000035,"designer=Gucci,size=90 CM,type=Belt,gender=Men,pwwsku=ACC-1241"
I0000036,"designer=Gucci,size=95 CM,type=Belt,gender=Men,pwwsku=ACC-1223"
I0000037,"designer=Gucci,size=100 cm,type=Belt,gender=Men,pwwsku=ACC-1202"
I0000038,"designer=Gucci,size=105 CM,type=Belt,gender=Men,pwwsku=ACC-1265"
I0000039,"designer=Gucci,size=95 CM,type=Belt,gender=Men,pwwsku=ACC-1224"
I0000040,"designer=Gucci,size=1 PC,type=Wallet,gender=Men,pwwsku=ACC-1239"
I0000041,"designer=Gucci,size=1 Pc,type=Wallet,gender=Men,pwwsku=ACC-1211"
I0000042,"designer=Gucci,size=1 Pc,type=Wallet,gender=Men,pwwsku=ACC-1208"
I0000043,"designer=Gucci,size=1 PC,type=Wallet,gender=Men,pwwsku=ACC-1258"
I0000044,"designer=Bvlgari,size=1 Pc,type=Travel Pouch,gender=Men,pwwsku=ACC-1003"
I0000045,"designer=WAHL Professional,size=8 oz,type=Blade Cleaner,gender=Men,upc=43917227207,pwwsku=ACC-1631"
I0000046,"designer=The Art Of Shaving,size=1 Pc,type=Shaving & Brush Stand,gender=Men,upc=670535710066,pwwsku=ACC-1613"
