sku,qty,out_of_stock_qty,price
I0000001,0,1,2.83
I0000002,10,0,11.23
I0000003,0,1,11.94
I0000004,-1,1,5.52
I0000005,0,1,8.63
I0000006,14,0,8.28
I0000007,1,0,8.63
I0000008,0,1,11.73
I0000009,0,1,1.61
I0000010,0,1,2.77
I0000011,0,1,8.76
I0000012,0,1,28.98
I0000013,22,0,22.08
I0000014,0,1,277.57
I0000015,0,1,220.26
I0000016,0,1,302.32
I0000017,0,1,196.39
I0000018,0,1,229.12
I0000019,4,0,7.73
I0000020,1,0,7.73
I0000021,23,0,7.73
I0000022,18,0,7.73
I0000023,14,0,7.73
I0000024,18,0,7.73
I0000025,3,0,7.73
I0000026,16,0,7.73
I0000027,25,0,7.73
I0000028,18,0,7.73
I0000029,0,1,250.39
I0000030,0,1,194.54
I0000031,0,1,200.96
I0000032,0,1,281.78
I0000033,0,1,282.75
I0000034,0,1,233.8
I0000035,0,1,222.75
I0000036,0,1,281.78
I0000037,0,1,288.68
I0000038,0,1,228.85
I0000039,0,1,281.91
I0000040,0,1,232.85
I0000041,0,1,222.19
I0000042,0,1,215.82
I0000043,0,1,220.41
I0000044,0,1,5.52
I0000045,0,1,7.59
I0000046,0,1,42.78
I0000047,16,0,93.84
I0000048,0,1,4.95
I0000049,0,1,55.2
I0000050,0,1,281.78
I0000051,0,1,235.01
I0000052,0,1,271.18
I0000053,0,1,224.33
I0000054,0,1,246.58
I0000055,0,1,322.56
I0000056,24,0,6.9
I0000057,0,1,12.42
I0000058,16,0,6.9
I0000059,1,0,0.69
I0000060,0,1,200.49
I0000061,0,1,281.78
I0000062,0,1,278.5
I0000063,0,1,277.53
I0000064,0,1,250.83
I0000065,0,1,182.73
I0000066,0,1,318.09
I0000067,0,1,250.83
I0000068,2,0,3.45
I0000069,2,0,5.52
I0000070,0,1,249.86
I0000071,0,1,174.23
I0000072,0,1,245.65
I0000073,0,1,236.35
I0000074,0,1,194.1
I0000075,0,1,110.4
I0000076,0,1,1.37
I0000077,0,1,1.63
I0000078,0,1,2
I0000079,0,1,1.88
I0000080,0,1,3.62
I0000081,433,0,4.14
I0000082,0,1,1.16
I0000083,0,1,1.17
I0000084,0,1,1.15
I0000085,0,1,1.16
I0000086,0,1,1.16
I0000087,0,1,1.17
I0000088,0,1,1.06
I0000089,0,1,1.16
I0000090,0,1,0
I0000091,0,1,0
I0000092,0,1,0
I0000093,0,1,0
I0000094,0,1,2.42
I0000095,0,1,4.83
I0000096,0,1,7.59
I0000097,0,1,110.4
I0000098,0,1,1.04
I0000099,12,0,4.14
I0000100,0,1,3.45
I0000101,0,1,6.9
I0000102,0,1,23.46
I0000103,4,0,2.76
I0000104,0,1,60.72
I0000105,0,1,49.57
I0000106,0,1,19.32
I0000107,0,1,60.72
I0000108,0,1,1.45
I0000109,0,1,1.77
I0000110,0,1,2.13
I0000111,0,1,1.17
I0000112,0,1,1.2
I0000113,0,1,1.12
I0000114,6,0,6.21
I0000115,0,1,0.22
I0000116,0,1,1.93
I0000119,0,1,0.22
I0000120,0,1,2.21
I0000121,9,0,63.73
I0000122,0,1,1.04
I0000123,0,1,2.21
I0000124,0,1,1.84
I0000125,2,0,33.12
I0000126,0,1,3.45
I0000127,0,1,62.1
I0000128,469,0,11.04
I0000129,2,0,11.04
I0000130,0,1,2.42
I0000131,0,1,3.45
I0000132,0,1,7.59
I0000133,67,0,3.11
I0000134,0,1,0
I0000135,0,1,0.59
I0000136,0,1,1.7
I0000137,0,1,1.48
I0000138,19,0,5.52
I0000139,0,1,0
I0000140,0,1,60.72
I0000141,0,1,1.16
I0000142,0,1,1.95
I0000143,0,1,1.95
I0000144,0,1,1.92
I0000145,0,1,1.92
I0000146,0,1,60.72
I0000147,0,1,2.39
I0000148,0,1,15.18
I0000149,2,0,158.7
I0000150,0,1,99.36
I0000151,1,0,46.92
I0000152,3,0,46.92
I0000153,0,1,46.92
I0000154,2,0,1.38
I0000155,0,1,30.36
I0000156,0,1,0.92
I0000157,110,0,17.71
I0000158,80,0,17.72
I0000159,70,0,17.71
I0000160,80,0,17.72
I0000161,80,0,17.71
I0000162,22,0,17.72
I0000163,72,0,6.9
I0000164,0,1,1.24
I0000165,0,1,0
I0000166,0,1,0
I0000167,0,1,60.72
I0000168,0,1,0.47
I0000169,0,1,3.64
I0000170,0,1,16.62
I0000171,0,1,16.55
I0000172,1,0,13.11
I0000173,0,1,1.16
I0000174,1,0,3.45
I0000175,0,1,7.59
I0000176,46,0,4.14
I0000177,0,1,1.31
I0000178,0,1,1.31
I0000179,0,1,1.31
I0000180,0,1,1.27
I0000181,0,1,1.28
I0000182,0,1,1.31
I0000183,0,1,34.5
I0000184,0,1,0.73
I0000185,0,1,33.12
I0000186,2,0,130.58
I0000187,53,0,11.73
I0000188,0,1,1.82
I0000189,0,1,0
I0000190,13,0,18.52
I0000191,16,0,13.8
I0000192,0,1,33.12
I0000193,0,1,3.45
I0000194,0,1,7.59
I0000195,0,1,0
I0000196,0,1,0.19
I0000197,0,1,6.9
I0000198,0,1,5.52
I0000199,3,0,33.12
I0000200,0,1,1.31
I0000201,0,1,7.37
I0000202,0,1,7.59
I0000203,0,1,7.59
I0000204,0,1,9.8
I0000205,0,1,3.97
I0000206,0,1,3.73
I0000207,0,1,1.44
I0000208,0,1,1.23
I0000209,0,1,15.18
I0000210,0,1,158.7
I0000211,1,0,62.1
I0000212,1,0,62.1
I0000213,1,0,6.9
I0000214,0,1,12.42
I0000215,0,1,0.66
I0000216,0,1,3.95
I0000217,0,1,8.28
I0000218,0,1,1.04
I0000219,0,1,1.38
I0000220,0,1,0.51
I0000221,0,1,1.06
I0000222,0,1,1.05
I0000223,0,1,0
I0000224,0,1,1.49
I0000225,0,1,0
I0000226,0,1,0
I0000227,0,1,1.5
I0000228,88,0,3.11
I0000229,12,0,60.72
I0000230,0,1,45.54
I0000231,0,1,1.31
I0000232,0,1,1.16
I0000233,0,1,1.17
I0000234,0,1,1.17
I0000235,0,1,1.17
I0000236,0,1,1.09
I0000237,1,0,32.65
I0000238,2,0,32.65
I0000239,1,0,32.65
I0000240,0,1,0.66
I0000241,0,1,0.65
I0000242,7,0,49.57
I0000243,0,1,1.35
I0000244,0,1,1.32
I0000245,2,0,1.38
I0000246,0,1,0.36
I0000247,0,1,3.34
I0000248,0,1,3.2
I0000249,0,1,0
I0000250,0,1,0.7
I0000251,16,0,27.6
I0000252,0,1,10.35
I0000253,0,1,10.35
I0000254,0,1,10.35
I0000255,0,1,10.35
I0000256,0,1,10.35
I0000257,0,1,10.35
I0000258,0,1,10.35
I0000259,0,1,10.35
I0000260,0,1,10.35
I0000261,0,1,10.35
I0000262,0,1,10.35
I0000263,4,0,10.35
I0000264,0,1,10.35
I0000265,0,1,10.35
I0000266,3,0,10.35
I0000267,0,1,10.35
I0000268,0,1,10.35
I0000269,0,1,10.35
I0000270,0,1,10.35
I0000271,0,1,9.66
I0000272,-1,1,20.7
I0000273,1,0,13.5
I0000274,6,0,6.33
I0000275,0,1,3.11
I0000276,0,1,3.11
I0000277,0,1,3.11
I0000278,0,1,3.11
I0000279,2,0,3.11
I0000280,2,0,38.64
I0000281,0,1,41.4
I0000282,1,0,42.78
I0000283,0,1,0.65
I0000284,0,1,5.52
I0000285,0,1,1.82
I0000286,0,1,1.16
I0000287,0,1,6.9
I0000288,0,1,6.9
I0000289,2,0,15.18
I0000290,5,0,100.17
I0000291,99,0,4.14
I0000292,0,1,1.52
I0000293,0,1,0.94
I0000294,0,1,0.94
I0000295,116,0,2.29
I0000296,0,1,10.5
I0000297,0,1,10.5
I0000298,0,1,10.5
I0000299,1,0,103.5
I0000300,1,0,103.5
I0000301,0,1,0.94
I0000302,0,1,1.45
I0000303,0,1,0
I0000304,0,1,0.87
I0000305,0,1,0.91
I0000306,0,1,0
I0000307,0,1,0
I0000308,0,1,0
I0000309,0,1,0.39
I0000310,0,1,0.41
I0000311,0,1,0.58
I0000312,0,1,0.68
I0000313,0,1,0
I0000314,0,1,0
I0000315,0,1,0.58
I0000316,0,1,3.8
I0000317,0,1,4.15
I0000318,0,1,4.39
I0000319,0,1,6.56
I0000320,0,1,0
I0000321,0,1,0
I0000322,0,1,6.9
I0000323,0,1,4.83
I0000324,2,0,8.97
I0000325,0,1,1.7
I0000326,2,0,37.03
I0000327,0,1,0.69
I0000328,0,1,0.21
I0000329,0,1,1.3
I0000330,7,0,82.83
I0000331,0,1,14.49
I0000332,0,1,1.38
I0000333,6,0,2.07
I0000334,48,0,5.52
I0000335,12,0,11.04
I0000336,0,1,4.14
I0000337,0,1,7.59
I0000338,3,0,19.32
I0000339,0,1,20.7
I0000340,0,1,1.05
I0000341,0,1,9.66
I0000342,1,0,4.14
I0000343,0,1,14.35
I0000344,0,1,55.2
I0000345,0,1,5.52
I0000346,0,1,96.96
I0000347,0,1,103.4
I0000348,0,1,58.14
I0000349,0,1,96.96
I0000350,0,1,96.96
I0000351,0,1,84.01
I0000352,0,1,96.96
I0000353,1,0,109.88
I0000354,0,1,148.7
I0000355,1,0,11.04
I0000356,0,1,2.65
I0000357,10,0,5.52
I0000358,5,0,59.34
I0000359,28,0,5.52
I0000360,1,0,20.7
I0000361,4,0,3.11
I0000362,2,0,15.53
I0000363,8,0,2.76
I0000364,0,1,0
I0000365,19,0,5.52
I0000366,1,0,23.46
I0000367,2,0,23.46
I0000368,1,0,23.46
I0000369,1,0,23.46
I0000370,2,0,23.46
I0000371,159,0,4.14
I0000372,0,1,34.5
I0000373,3,0,35.88
I0000374,0,1,2.76
I0000375,0,1,4.14
I0000376,1,0,5.52
I0000377,0,1,6.9
I0000378,31,0,6.9
I0000379,0,1,12.42
I0000380,9,0,6.9
I0000381,3,0,5.52
I0000382,355,0,6.9
I0000383,3,0,5.52
I0000384,3,0,1.38
I0000385,3,0,6.9
I0000386,4,0,6.9
I0000387,2,0,4.14
I0000388,12,0,4.14
I0000389,1,0,162.84
I0000390,2,0,53.82
I0000391,1,0,48.3
I0000392,0,1,88.87
I0000393,0,1,828
I0000394,0,1,621
I0000395,6,0,4.14
I0000396,21,0,5.52
I0000397,0,1,13.8
I0000398,72,0,6.9
I0000399,0,1,2.76
I0000400,1,0,248.4
I0000401,764,0,2.76
I0000402,1,0,34.5
I0000403,0,1,5.52
I0000404,0,1,800.4
I0000405,0,1,621
I0000406,0,1,48.3
I0000407,0,1,12.42
I0000408,0,1,4.14
I0000409,0,1,6.9
I0000410,6,0,165.6
